A	B
[START]	[START]
ADD POCl3	ADD (S)-N-acetyl-1,2,3,4-tetrahydropyridine-2-carboxylate
ADD DMF at 0°C	ADD POCl3
ADD (S)-N-acetyl-1,2,3,4-tetrahydropyridine-2-carboxylate	ADD DMF
ADD DMF	REFLUX for 5 h
HEAT to 25°C	COOL to 25°C
STIR for 2 h	ADD
ADD	SET PH [NEUTRALISE]
EXTRACT with ethyl acetate	FILTER
WASH organic phase	CONCENTRATE filtrate
DRY SOLUTION with Na2SO4	YIELD: (s)-n-acetyl-5-formyl-1,2,3,4-tetrahydropyridine-2-carboxylate
DISTIL	[END]
RECRYSTALLISATION	
YIELD: (s)-n-acetyl-5-formyl-1,2,3,4-tetrahydropyridine-2-carboxylate	
[END]	
